品番数,品目,除外理由
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,経年4年未満
1,M/T,
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,経年4年未満
1,M/T,
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,
1,M/T,経年4年未満
1,M/T,K1コメント有、かつ終期から3年未満
1,M/T,K1コメント有、かつ終期から3年未満
1,M/T,経年4年未満
1,M/T,K1コメント有、かつ終期から3年未満
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,経年4年未満
1,A/T,
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,8年目～かつ直近3年平均5個より多
1,A/T,車種
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,車種
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,8年目～かつ直近3年平均5個より多
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,経年4年未満
1,A/T,K1コメント有、かつ終期から3年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,K1コメント有、かつ終期から3年未満
1,A/T,
1,A/T,
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,日野OEM
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,車種
1,M/T,
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,車種
1,M/T,車種
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,車種
1,M/T,経年4年未満
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,
1,M/T,
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,
1,M/T,経年4年未満
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,
1,M/T,経年4年未満
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,8年目～かつ直近3年平均5個より多
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,日野OEM
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,日野OEM
1,M/T,日野OEM
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,日野OEM
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,経年4年未満
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,4年目～8年未満かつ直近3年受注有
1,M/T,日野OEM
1,M/T,日野OEM
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,車種
1,A/T,経年4年未満
1,A/T,車種
1,A/T,車種
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,車種
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,日野OEM
1,A/T,日野OEM
1,A/T,日野OEM
1,A/T,日野OEM
1,A/T,日野OEM
1,A/T,日野OEM
1,A/T,日野OEM
1,A/T,日野OEM
1,A/T,日野OEM
1,A/T,経年4年未満
1,A/T,日野OEM
1,A/T,経年4年未満
1,A/T,車種
1,A/T,車種
1,A/T,車種
1,A/T,車種
1,A/T,車種
1,A/T,車種
1,A/T,車種
1,A/T,車種
1,A/T,8年目～かつ直近3年平均5個より多
1,A/T,8年目～かつ直近3年平均5個より多
1,A/T,車種
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,車種
1,A/T,8年目～かつ直近3年平均5個より多
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,経年4年未満
1,A/T,8年目～かつ直近3年平均5個より多
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,
1,A/T,車種
1,A/T,経年4年未満
1,A/T,車種
1,A/T,8年目～かつ直近3年平均5個より多
1,A/T,車種
1,A/T,車種
1,A/T,車種
1,A/T,経年4年未満
1,A/T,車種
1,A/T,車種
1,A/T,車種
1,A/T,
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,経年4年未満
1,A/T,8年目～かつ直近3年平均5個より多
1,A/T,8年目～かつ直近3年平均5個より多
1,A/T,車種
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,経年4年未満
1,A/T,4年目～8年未満かつ直近3年受注有
1,A/T,4年目～8年未満かつ直近3年受注有
1,T/F,4年目～8年未満かつ直近3年受注有
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,経年4年未満
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,8年目～かつ直近3年平均5個より多
1,T/F,経年4年未満
1,T/F,4年目～8年未満かつ直近3年受注有
1,T/F,経年4年未満
